name,mmsi,imo,call_sign,vessel_type__sub_type,gross_tonnage,deadweight,length,year_built,built_at_(shipyard),country,url
EINAR,257037160,-,LF5817,Fishing / FISHING,-,-,10 m,-,-,Norway,https://magicport.ai/vessels/fishing/einar-mmsi-257037160
EIRIN,257777090,-,LE6438,Fishing / FISHING,-,-,8 m,-,-,-,https://magicport.ai/vessels/fishing/eirin-mmsi-257777090
EITOUMARU,431009184,-,-,Fishing / FISHING,-,-,28 m,-,-,Japan,https://magicport.ai/vessels/fishing/eitoumaru-mmsi-431009184
EIUN MARU NO.27,431015482,-,-,Fishing / FISHING,-,-,-,-,-,Japan,https://magicport.ai/vessels/fishing/eiun-maru-no27-mmsi-431015482
EL TOTO SEGUNDO,224257960,-,-,Fishing / FISHING,-,-,-,-,-,Spain,https://magicport.ai/vessels/fishing/el-toto-segundo-mmsi-224257960
ELIAS,257218220,-,LM2955,Fishing / FISHING,-,-,10 m,-,-,Norway,https://magicport.ai/vessels/fishing/elias-mmsi-257218220
ELIN,219027752,-,OYOL,Fishing / FISHING,250 MTs,-,24 m,2020,-,Denmark,https://magicport.ai/vessels/fishing/elin-mmsi-219027752
ELISABETH NEREU RO,710342770,-,-,Fishing / FISHING,-,-,-,-,-,Brazil,https://magicport.ai/vessels/fishing/elisabeth-nereu-ro-mmsi-710342770
ELISSA,215000323,-,9HB4913,Fishing / FISHING,-,-,27 m,-,-,Malta,https://magicport.ai/vessels/fishing/elissa-mmsi-215000323
ELIZABETH,775992966,-,-,Fishing / FISHING,-,-,-,-,-,Venezuela,https://magicport.ai/vessels/fishing/elizabeth-mmsi-775992966
ELLA KAROLINE,257098270,-,LK3777,Fishing / FISHING,-,-,12 m,-,-,Norway,https://magicport.ai/vessels/fishing/ella-karoline-mmsi-257098270
EMILIANIA,257036620,-,-,Fishing / FISHING,-,-,-,-,-,Norway,https://magicport.ai/vessels/fishing/emiliania-mmsi-257036620
EMRE BARIS KARDESLER,271073131,-,-,Fishing / FISHING,-,-,-,-,-,Turkey,https://magicport.ai/vessels/fishing/emre-baris-kardesler-mmsi-271073131
EN CHII,416004192,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/en-chii-mmsi-416004192
ENAS 1,403157580,-,7Z4808,Fishing / FISHING,-,-,6 m,-,-,-,https://magicport.ai/vessels/fishing/enas-1-mmsi-403157580
ENGINLER 1,271072594,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/enginler-1-mmsi-271072594
ENMANUEL,775993325,-,YYP6651,Fishing / FISHING,-,-,14 m,-,-,Venezuela,https://magicport.ai/vessels/fishing/enmanuel-mmsi-775993325
ENOMOTOMARU,431015604,-,-,Fishing / FISHING,-,-,-,-,-,Japan,https://magicport.ai/vessels/fishing/enomotomaru-mmsi-431015604
EO SUNG,440021710,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/eo-sung-mmsi-440021710
EPYTFN 6,506000741,-,XZY5542,Fishing / FISHING,-,-,-,-,-,Myanmar,https://magicport.ai/vessels/fishing/epytfn-6-mmsi-506000741
EREN KARDESLER1,271069040,-,-,Fishing / FISHING,-,-,-,-,-,Turkey,https://magicport.ai/vessels/fishing/eren-kardesler1-mmsi-271069040
ERGIN KARDESLER II,271072232,-,-,Fishing / FISHING,-,-,-,-,-,Turkey,https://magicport.ai/vessels/fishing/ergin-kardesler-ii-mmsi-271072232
ERIK,257024440,-,-,Fishing / FISHING,-,-,-,-,-,Norway,https://magicport.ai/vessels/fishing/erik-mmsi-257024440
ERLE,257118860,-,LF7069,Fishing / FISHING,-,-,6 m,-,-,Norway,https://magicport.ai/vessels/fishing/erle-mmsi-257118860
ESHN YAN 2451,412481831,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/eshn-yan-2451-mmsi-412481831
ETOILE POLAIRE,227525000,-,FHQP,Fishing / FISHING,-,-,-,-,-,France,https://magicport.ai/vessels/fishing/etoile-polaire-mmsi-227525000
EUFRATES,775992265,-,21558,Fishing / FISHING,-,-,17 m,-,-,-,https://magicport.ai/vessels/fishing/eufrates-mmsi-775992265
EUN HA,440089360,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/eun-ha-mmsi-440089360
EUN SEOK5,440003030,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/eun-seok5-mmsi-440003030
EUNSUNG,440039250,-,-,Fishing / FISHING,-,-,-,-,-,South Korea,https://magicport.ai/vessels/fishing/eunsung-mmsi-440039250
EV76EC8,800010708,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/ev76ec8-mmsi-800010708
EVEREST SECONDO,247125380,-,-,Fishing / FISHING,-,-,-,-,-,Italy,https://magicport.ai/vessels/fishing/everest-secondo-mmsi-247125380
F.V. CORSAIR,512002695,-,ZM6960,Fishing / FISHING,-,-,-,-,-,New Zealand,https://magicport.ai/vessels/fishing/fv-corsair-mmsi-512002695
F12 84 D7 64,574207128,-,-,Fishing / FISHING,-,-,-,-,-,Vietnam,https://magicport.ai/vessels/fishing/f12-84-d7-64-mmsi-574207128
F5325 04 42,412045325,-,-,Fishing / FISHING,-,-,10 m,-,-,-,https://magicport.ai/vessels/fishing/f5325-04-42-mmsi-412045325
F9 THANG 88,574939688,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/f9-thang-88-mmsi-574939688
FA16,108000000,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/fa16-mmsi-108000000
FAGE 1 73,412388881,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/fage-1-73-mmsi-412388881
FAHAL NASSER,408901436,-,-,Fishing / FISHING,-,-,-,-,-,Bahrain,https://magicport.ai/vessels/fishing/fahal-nasser-mmsi-408901436
FAHMAN,408902882,-,-,Fishing / FISHING,-,-,-,-,-,Bahrain,https://magicport.ai/vessels/fishing/fahman-mmsi-408902882
FAIL,408902210,-,-,Fishing / FISHING,-,-,-,-,-,Bahrain,https://magicport.ai/vessels/fishing/fail-mmsi-408902210
FAJAR 17,533130699,-,-,Fishing / FISHING,-,-,-,-,-,Malaysia,https://magicport.ai/vessels/fishing/fajar-17-mmsi-533130699
FAMILY MATTERS,316045374,-,-,Fishing / FISHING,-,-,-,-,-,Canada,https://magicport.ai/vessels/fishing/family-matters-mmsi-316045374
FAN A SEA,316002955,-,-,Fishing / FISHING,-,-,-,-,-,Canada,https://magicport.ai/vessels/fishing/fan-a-sea-mmsi-316002955
FAN A SEA 2006,316009572,-,-,Fishing / FISHING,-,-,-,-,-,Canada,https://magicport.ai/vessels/fishing/fan-a-sea-2006-mmsi-316009572
FANTASEA,368193530,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/fantasea-mmsi-368193530
FARNELLA H135,312428000,9211808,V3PE4,Fishing / FISHING,667 MTs,300 MTs,36 m,2000,-,Belize,https://magicport.ai/vessels/fishing/farnella-h135-mmsi-312428000
FARUKREIS 2,271072526,-,-,Fishing / FISHING,-,-,-,-,-,Turkey,https://magicport.ai/vessels/fishing/farukreis-2-mmsi-271072526
FAT FORTY,316004771,-,-,Fishing / FISHING,-,-,-,-,-,Canada,https://magicport.ai/vessels/fishing/fat-forty-mmsi-316004771
FATEMAH 7 14557,403733870,-,-,Fishing / FISHING,-,-,-,-,-,Saudi Arabia,https://magicport.ai/vessels/fishing/fatemah-7-14557-mmsi-403733870
FATHIMA FARAHAN,419951248,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/fathima-farahan-mmsi-419951248
FATMA AL OLAA,403711960,-,HZG3097,Fishing / FISHING,-,-,9 m,-,-,Saudi Arabia,https://magicport.ai/vessels/fishing/fatma-al-olaa-mmsi-403711960
FAZA,422277790,-,-,Fishing / FISHING,-,-,-,-,-,Iran,https://magicport.ai/vessels/fishing/faza-mmsi-422277790
FEHMI REIS,271072015,-,-,Fishing / FISHING,-,-,-,-,-,Turkey,https://magicport.ai/vessels/fishing/fehmi-reis-mmsi-271072015
