name,mmsi,imo,call_sign,vessel_type__sub_type,gross_tonnage,deadweight,length,year_built,built_at_(shipyard),country,url
YUEHUIWANYU16383,412463827,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuehuiwanyu16383-mmsi-412463827
YUEHUIYU11421,200002211,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuehuiyu11421-mmsi-200002211
YUEJIANGCHENG95276,412477837,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuejiangcheng95276-mmsi-412477837
YUEJIANGCHENG98133,412477838,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuejiangcheng98133-mmsi-412477838
YUEJIANGCHENGYU41108,412476914,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuejiangchengyu41108-mmsi-412476914
YUEJIANGCHENGYU41172,412479104,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuejiangchengyu41172-mmsi-412479104
YUEJIANGCHENGYU41217,412483655,-,0041217,Fishing / FISHING,-,-,5 m,-,-,China,https://magicport.ai/vessels/fishing/yuejiangchengyu41217-mmsi-412483655
YUEJIANGCHENGYU41226,412479122,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuejiangchengyu41226-mmsi-412479122
YUEJIANGCHENGYU41231,412483605,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuejiangchengyu41231-mmsi-412483605
YUEJIANGCHENGYU41282,412467626,-,41282,Fishing / FISHING,-,-,41 m,-,-,China,https://magicport.ai/vessels/fishing/yuejiangchengyu41282-mmsi-412467626
YUEJIANGCHENGYU51113,412470848,-,-,Fishing / FISHING,-,-,16 m,-,-,China,https://magicport.ai/vessels/fishing/yuejiangchengyu51113-mmsi-412470848
YUEJIANGCHENGYU71266,412468634,-,0071266,Fishing / FISHING,-,-,7 m,-,-,China,https://magicport.ai/vessels/fishing/yuejiangchengyu71266-mmsi-412468634
YUEJIANGCHENGYU71378,412534663,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuejiangchengyu71378-mmsi-412534663
YUEJIANGCHENGYU73180,412464673,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuejiangchengyu73180-mmsi-412464673
YUEJIANGCHENGYU89948,412463504,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuejiangchengyu89948-mmsi-412463504
YUEJIANGCHENGYU91132,412464079,-,91132,Fishing / FISHING,-,-,22 m,-,-,China,https://magicport.ai/vessels/fishing/yuejiangchengyu91132-mmsi-412464079
YUEJIANGCHENGYU93002,412483549,-,0093002,Fishing / FISHING,-,-,11 m,-,-,China,https://magicport.ai/vessels/fishing/yuejiangchengyu93002-mmsi-412483549
YUEJIANGCHENGYU95163,412477941,-,95163,Fishing / FISHING,-,-,32 m,-,-,China,https://magicport.ai/vessels/fishing/yuejiangchengyu95163-mmsi-412477941
YUEJIANGCHENGYU96182,412470793,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuejiangchengyu96182-mmsi-412470793
YUEJIANGCHENGYU97131,412477668,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuejiangchengyu97131-mmsi-412477668
YUEJIANGCHENGYU97293,412461113,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yuejiangchengyu97293-mmsi-412461113
YUEJIANGCHENGYU97353,412468753,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuejiangchengyu97353-mmsi-412468753
YUEJIANGCHENGYU97390,412474835,-,97390,Fishing / FISHING,-,-,11 m,-,-,China,https://magicport.ai/vessels/fishing/yuejiangchengyu97390-mmsi-412474835
YUEJIANGCHENGYU97866,412482824,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuejiangchengyu97866-mmsi-412482824
YUEJIANGCHENGYU98630,412470999,-,98630,Fishing / FISHING,-,-,13 m,-,-,China,https://magicport.ai/vessels/fishing/yuejiangchengyu98630-mmsi-412470999
YUEJIANGCHENGYU98720,412483684,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuejiangchengyu98720-mmsi-412483684
YUEJIANGCHENGYU99188,412527979,-,0099188,Fishing / FISHING,-,-,32 m,-,-,China,https://magicport.ai/vessels/fishing/yuejiangchengyu99188-mmsi-412527979
YUELEIYU13138,412488617,-,0,Fishing / FISHING,-,-,46 m,-,-,China,https://magicport.ai/vessels/fishing/yueleiyu13138-mmsi-412488617
YUELEIYU16666 6 90,201666606,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yueleiyu16666-6-90-mmsi-201666606
YUELEIYU34023,412484317,-,0034023,Fishing / FISHING,-,-,7 m,-,-,China,https://magicport.ai/vessels/fishing/yueleiyu34023-mmsi-412484317
YUELIANYU11999,412463949,-,0011999,Fishing / FISHING,-,-,39 m,-,-,China,https://magicport.ai/vessels/fishing/yuelianyu11999-mmsi-412463949
YUELIANYU13011,412532354,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuelianyu13011-mmsi-412532354
YUELIANYU13056,412533372,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuelianyu13056-mmsi-412533372
YUELIANYU23158,412465042,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuelianyu23158-mmsi-412465042
YUELONGGANGYU82094,412525768,-,-,Fishing / FISHING,-,-,5 m,-,-,China,https://magicport.ai/vessels/fishing/yuelonggangyu82094-mmsi-412525768
YUELONGGANGYU82818,412463539,-,-,Fishing / FISHING,-,-,40 m,-,-,-,https://magicport.ai/vessels/fishing/yuelonggangyu82818-mmsi-412463539
YUELONGGANGYU88168,412468175,-,-,Fishing / FISHING,-,-,6 m,-,-,-,https://magicport.ai/vessels/fishing/yuelonggangyu88168-mmsi-412468175
YUELONGGANGYU88607,412530912,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yuelonggangyu88607-mmsi-412530912
YUELUYU24166 13 93,412416613,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yueluyu24166-13-93-mmsi-412416613
YUELUYU24166 19 26,412416619,-,22502,Fishing / FISHING,-,-,15 m,-,-,China,https://magicport.ai/vessels/fishing/yueluyu24166-19-26-mmsi-412416619
YUELUYU28004,412473168,-,28004,Fishing / FISHING,-,-,20 m,-,-,China,https://magicport.ai/vessels/fishing/yueluyu28004-mmsi-412473168
YUELUYU29315,412474076,-,-,Fishing / FISHING,-,-,-,-,-,China,https://magicport.ai/vessels/fishing/yueluyu29315-mmsi-412474076
YUELUYU29907,412473728,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yueluyu29907-mmsi-412473728
YUELUYU41059,412478301,-,-,Fishing / FISHING,-,-,-,-,-,-,https://magicport.ai/vessels/fishing/yueluyu41059-mmsi-412478301
